,Branch length stretch,county,date,numdate
NODE_0000174,2.0,,,2020.8594204740223
NODE_0000175,2.0,,,2021.0126822487832
NODE_0000176,2.0,,,2021.0294285324383
NODE_0000177,2.0,,,2020.1379148619346
NODE_0000178,2.0,,,2020.2472712450701
NODE_0000179,0.0,,,2020.2472712450701
NODE_0000180,2.0,,,2020.2599947428453
NODE_0000181,2.0,,,2020.262153637532
NODE_0000182,2.0,,,2020.2629799775984
NODE_0000183,2.0,,,2020.263806220698
NODE_0000184,2.0,,,2020.2646324621553
NODE_0000185,2.0,,,2020.2654587017153
NODE_0000186,2.0,,,2020.2666467550491
NODE_0000187,2.0,,,2020.2674726258135
NODE_0000188,2.0,,,2020.4002148343081
NODE_0000189,2.0,,,2020.418189178773
NODE_0000190,2.0,,,2020.4321444151597
NODE_0000191,2.0,,,2020.437726509708
NODE_0000192,2.0,,,2020.50471164436
NODE_0000193,2.0,,,2020.234863012043
NODE_0000194,2.0,,,2020.2906695760332
NODE_0000195,2.0,,,2020.3720443520144
NODE_0000196,0.0,,,2020.3720443520144
NODE_0000197,2.0,,,2020.5270400225738
NODE_0000198,2.0,,,2019.8455729989528
NODE_0000199,2.0,,,2019.9392531699211
NODE_0000200,2.0,,,2020.1580424482474
NODE_0000201,2.0,,,2020.160699119763
NODE_0000202,2.0,,,2020.1692622343267
NODE_0000203,2.0,,,2020.1906730055857
NODE_0000204,2.0,,,2020.2029960547563
NODE_0000205,2.0,,,2020.0642655541253
NODE_0000206,2.0,,,2020.0877477449162
NODE_0000207,2.0,,,2020.1072794987863
