# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Oct 09 15:54:19 BST 2024 [seed=1728485658784]
# -threads 4 H1avN2_HA_srd06_ur_cs_50m.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
3440000	-8064.11596598582	-2123.3874042073653	-5940.7285617784555	3.8555528442183973	2019.1388916002215	72.38335660286243	7.982098376786818	10.153677055137889	11.116788810179852	0.36594937370735403	0.19104353570621338	0.2008800054847981	0.24212708510163192	1.3197840598279456	0.3166239532026356	0.7825053616486985	0.21749463835130586	1.1737580424730478	0.6524839150539176	0.003614995582258835	0.001856633057631663	0.003784533163260077	0.4831985677537546	0.029286870856696387	-5940.7285617784555	-1657.6121102623383	-460.61366515902546
3460000	-8055.133315650293	-2130.2543576471253	-5924.878958003168	3.781808499198627	2019.2126359452413	75.45941013659552	7.968405386654415	9.912169987650342	11.189728653646242	0.3788336014328235	0.18517925239736033	0.19385535477201524	0.24213179139779842	0.5666823695386027	0.12058545794825792	0.7786143354000632	0.22138566459994047	1.1679215031000947	0.6641569937998214	0.00378715508797083	0.001446796468459944	0.0036142056948492633	0.38993486291789453	0.0023916002065206944	-5924.878958003168	-1657.6121102623383	-469.3870233014613
3480000	-8051.284285561215	-2117.9711687369945	-5933.313116824221	4.3724711553758775	2018.621973289064	77.9270276224948	7.981489614118348	10.082748705998192	11.631206623007161	0.3561037837468204	0.18197583718917879	0.21046264014660296	0.25145773891739537	0.4944648822961951	0.2483307619829602	0.6866021074382892	0.3133978925617145	1.0299031611574339	0.9401936776851436	0.0038703908373548604	0.002790182850067189	0.003735785497100242	0.6729788488154462	-0.05191870194053995	-5933.313116824221	-1657.6121102623383	-456.8709942823684
3500000	-8043.0339622508545	-2118.5714723584406	-5924.462489892414	3.977302587044103	2019.017141857396	75.24388588914883	9.546662545594929	8.62643406085881	8.035141107217726	0.34033291165624374	0.1899049955472269	0.21121941089034546	0.25854268190618124	0.44094744053398294	0.22889422329881623	0.8030168494100707	0.1969831505899337	1.204525274115106	0.5909494517698011	0.0038041896238741077	0.0026576490667419525	0.003655858156341291	0.6449689251329713	0.05782588009533076	-5924.462489892414	-1657.6121102623383	-458.3942874256318
3520000	-8029.664133252925	-2112.751138145677	-5916.912995107248	4.950772338459893	2018.04367210598	77.69187405712974	9.086677537598177	11.183782600940255	10.410046644790105	0.3708736125301102	0.17628822170808353	0.20943537021412995	0.24340279554767358	0.8514022555572895	0.34170581983646203	0.753212057178784	0.2467879428212202	1.129818085768176	0.7403638284636607	0.003910180371540181	0.0037606876722510426	0.0034376464266619887	0.8401034575485847	0.08303920567767191	-5916.912995107248	-1657.6121102623383	-450.6250946690744
3540000	-8039.542203141016	-2139.940192701725	-5899.602010439291	4.584536504607304	2018.4099079398327	81.38236753468769	12.477769379638824	9.899133000274773	7.77642962015707	0.366405177073323	0.1872835402052412	0.1996949998421257	0.24661628287930745	0.46786914272795926	0.1293379384276086	0.7869651776138991	0.21303482238610488	1.1804477664208486	0.6391044671583146	0.0036697611300775712	0.004132171686608873	0.0031385660019370874	0.840303649533281	-0.08266766046352476	-5899.602010439291	-1657.6121102623383	-479.4905833991141
3560000	-8075.987183271825	-2145.4244207149536	-5930.562762556871	4.602651417726282	2018.3917930267137	84.5327766144589	11.556463626422431	14.528105256352307	11.063917067040784	0.3331209845288361	0.1914803426881543	0.19504106779629027	0.28035760498671664	0.41115928865985213	0.1949837689451757	0.7748639975830744	0.22513600241692935	1.1622959963746116	0.6754080072507881	0.002920577728841312	0.0014336751346804904	0.0029987004238164103	0.486241916388401	-0.013379345385164648	-5930.562762556871	-1657.6121102623383	-483.8490399403205
3580000	-8110.881491291	-2159.166067480836	-5951.715423810164	4.960478265626454	2018.0339661788134	89.61365786155795	10.305396962155429	12.62768156822116	7.745189309529752	0.36095857889635935	0.17454305664687925	0.20694573936151991	0.25755262509523885	0.5499114262079136	0.5120665897098593	0.708464641625306	0.29153535837469763	1.062696962437959	0.8746060751240929	0.0026474442693298745	0.0013666508418425784	0.00266774486131139	0.5313977795413061	-0.018807993792838686	-5951.715423810164	-1657.6121102623383	-497.80229121456847
3600000	-8073.624674072998	-2156.1893868570733	-5917.435287215924	4.962662040495803	2018.0317824039441	85.80785975238366	12.645493333026094	11.768066105140377	12.945203373559782	0.3699872595799024	0.17337994036744306	0.21393529859371163	0.24269750145894026	0.7212725763360672	0.3115984216522872	0.7537817827075568	0.24621821729244647	1.1306726740613353	0.7386546518773394	0.003294340508362734	0.0014333039369926275	0.0034328998478747154	0.42964057297601016	-0.0038907737339061404	-5917.435287215924	-1657.6121102623383	-493.6984718424141
3620000	-8076.492936112809	-2159.409998362655	-5917.082937750154	5.1677167204549965	2017.826727723985	91.62312723018287	11.593753651616929	8.629142648733493	10.488278259355035	0.358738854970741	0.19600407695655386	0.20321193365264376	0.2420451344200586	0.5614181768987428	0.1779509363593079	0.7645076711980291	0.23549232880197418	1.1467615067970436	0.7064769864059226	0.003453558155780624	0.002108139303313336	0.0031272503283587714	0.5802748235756696	0.18384475930308283	-5917.082937750154	-1657.6121102623383	-498.5432652550791
