# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Oct 09 15:51:42 BST 2024 [seed=1728485501363]
# -threads 4 H1avN2_HA_srd06_sc_cs_50m.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
400000	-6434.635600374503	-485.1474178269818	-5949.488182547521	3.830392594517296	2019.1640518499228	78.69688064756242	9.551030703773447	8.60059508729019	8.871770292940184	0.3536422963801011	0.18284186015251738	0.20365459405557845	0.2598612494118029	0.5183068125869211	0.5632617168622356	0.7534856198726964	0.24651438012730287	1.1302284298090446	0.7395431403819086	0.0033586555281925837	0.003358655528192588	-5949.488182547521	0.0	-480.60875362323077
420000	-6393.532353988852	-443.85956057759665	-5949.672793411256	3.6712434078563287	2019.3232010365837	67.51979515711245	7.788553561787789	15.10668593338454	14.369134427895537	0.344759270623704	0.18796791222998058	0.21946076980009005	0.2478120473462249	0.5162096843404098	0.17563719524147767	0.74520018851004	0.2547998114899592	1.11780028276506	0.7643994344698777	0.004190082061958357	0.004190082061958363	-5949.672793411256	0.0	-438.0967881755867
440000	-6406.804749886239	-452.24794005961576	-5954.556809826623	3.6430036015728278	2019.351440842867	68.38749294303187	8.704534417437909	9.102045777590742	6.525249551729496	0.36967060147143604	0.18044419756476335	0.21377634747039004	0.23610885349341024	0.5909665395892894	0.22237011935042644	0.757178196542089	0.24282180345790946	1.1357672948131334	0.7284654103737284	0.004168494547333966	0.004168494547333965	-5954.556809826623	0.0	-448.54966022780434
460000	-6405.770147051471	-464.83349225381613	-5940.936654797655	3.5772752607992153	2019.4171691836407	72.39387739201159	8.988434969134103	13.507065376233689	10.552112000006112	0.3840137280590292	0.15366191629354126	0.2072938187423296	0.25503053690509947	0.7145566109194915	0.22360292777883262	0.768089683293884	0.23191031670611456	1.1521345249408261	0.6957309501183437	0.0038860894444458583	0.003886089444445857	-5940.936654797655	0.0	-459.3469561273469
480000	-6432.408939144954	-471.3462362389867	-5961.062702905968	3.668031998796896	2019.326412445643	74.37776071532188	8.188483168662733	10.00835510636363	17.17803505795328	0.37211863396793693	0.18528587804538799	0.19265604306544057	0.24993944492123385	0.7657824122024637	0.10737186467534264	0.7274138032833339	0.2725861967166633	1.091120704925001	0.8177585901499899	0.003655506661054878	0.0036555066610548742	-5961.062702905968	0.0	-465.7288002030004
500000	-6423.826786954942	-466.72285713810214	-5957.10392981684	3.9941536030652633	2019.0002908413746	74.83378287981694	7.114660461575925	11.334057061193606	7.437698406991495	0.36533497612034543	0.18294473753944068	0.19929066888457928	0.2524296174556339	0.4972025838745693	0.15161315833417863	0.7519142488947469	0.24808575110525077	1.1278713733421204	0.7442572533157523	0.0034709334440836625	0.003470933444083662	-5957.10392981684	0.0	-463.103196554028
520000	-6429.982655051057	-473.39183390457015	-5956.590821146487	3.6318034217136734	2019.3626410227264	75.34622708509701	8.326919642718316	11.106724272401355	11.21231925557169	0.3525838718470314	0.18069245290370944	0.21420060607015254	0.25252306917910583	0.8501353543060653	0.20613420627069942	0.7584168815725881	0.24158311842740962	1.1376253223588821	0.7247493552822288	0.003526089759141864	0.0035260897591418614	-5956.590821146487	0.0	-468.0993942661497
540000	-6428.739922867086	-469.95209704745224	-5958.787825819633	3.925357142056792	2019.0690873023832	74.86509286400285	8.651100355433027	8.610627797547636	15.61180946141606	0.3653438920956885	0.18378027586913656	0.2042219720008976	0.2466538600342765	1.1709248056539652	0.11743258197646979	0.7725406231832876	0.2274593768167097	1.1588109347749316	0.6823781304501291	0.0034193568540132973	0.003419356854013293	-5958.787825819633	0.0	-463.9759993480188
560000	-6448.601674560939	-478.2359942830099	-5970.365680277929	4.029701171908399	2018.9647432725317	79.05386423883664	10.520635670048499	8.337928770661323	10.028716090361696	0.35597426384843445	0.1942112531944639	0.19944003193228224	0.2503744510248186	0.8336200435540673	0.20916579821977552	0.765119036132831	0.23488096386716617	1.1476785541992465	0.7046428916014985	0.003350796539801516	0.0033507965398015126	-5970.365680277929	0.0	-473.5144528129316
580000	-6438.7212690282395	-476.73458231752505	-5961.986686710715	3.9237845197386543	2019.0706599247014	77.21647179447498	10.139812717144503	10.940936390574464	6.397060503242357	0.35893006051527915	0.18983675458186108	0.2005333979046541	0.250699786998205	0.6950289836774559	0.29782879028247944	0.7703261258018889	0.22967387419810842	1.1554891887028333	0.6890216225943253	0.0031749085382843005	0.003174908538284297	-5961.986686710715	0.0	-472.4550661273316
600000	-6445.980791366179	-484.39624602892115	-5961.584545337258	3.8006601688043653	2019.1937842756356	77.91603678815639	10.575540615139152	9.3555169886706	15.739546584722596	0.34548337089797965	0.1907529531104172	0.2062381814396478	0.2575254945519546	1.1242998738450078	0.15238800458616814	0.7855690838781949	0.21443091612180276	1.1783536258172924	0.6432927483654083	0.0033588244026649277	0.003358824402664931	-5961.584545337258	0.0	-478.1021344064769
620000	-6416.947348773908	-465.0990892980683	-5951.84825947584	4.139736157394543	2018.8547082870455	74.21184361832596	7.726033151278682	7.552675529810972	11.525708197123947	0.3491608460433087	0.19223682342394716	0.21682277922662296	0.24177955130612028	0.5604364951880144	0.21308011740071844	0.7732117371697342	0.22678826283026385	1.1598176057546015	0.6803647884907915	0.003667493432362701	0.003667493432362699	-5951.84825947584	0.0	-461.0459667977557
640000	-6417.7927208806295	-464.06925146044944	-5953.72346942018	3.94143927643975	2019.0530051680003	73.15566795047512	9.280219036012753	9.796954419325893	11.70029702054729	0.3828089606104393	0.17671435384633077	0.20304765693993665	0.2374290286032923	0.5462593032819629	0.1518370655939283	0.757812126643627	0.24218787335637101	1.1367181899654404	0.726563620069113	0.003555139633936904	0.0035551396339369044	-5953.72346942018	0.0	-459.5231711782634
660000	-6409.2760781796405	-471.96565817801513	-5937.310420001625	3.7436183320029057	2019.2508261124372	74.47584139844169	10.921022987717908	10.655162683391103	10.985781089580913	0.3635995568686043	0.18613498258030478	0.19395179185506406	0.2563136686960259	0.457042154180546	0.20840184693124456	0.733668161297909	0.2663318387020882	1.1005022419468635	0.7989955161062646	0.003692113848338486	0.003692113848338487	-5937.310420001625	0.0	-467.2626973125463
680000	-6425.853976182741	-462.8965036215452	-5962.957472561196	3.6848740699544087	2019.3095703744855	75.2962239621605	8.574385372471028	10.345322755492408	6.802959655944855	0.3591277428573612	0.1818838706824014	0.2088833639706134	0.25010502248962296	0.6021862619103661	0.17557885769893747	0.7670971559761979	0.23290284402379918	1.1506457339642968	0.6987085320713975	0.0037054352945239256	0.003705435294523925	-5962.957472561196	0.0	-459.09959517063396
700000	-6463.92069067724	-498.4959397891711	-5965.424750888069	4.222757302608224	2018.7716871418318	84.18760305046874	11.785175018431458	13.168098837589246	12.112809264673	0.36409249540665595	0.1797795411148096	0.2062394253796252	0.24988853809890815	0.6085924176692501	0.3181284817785186	0.7485226341844824	0.25147736581551483	1.1227839512767237	0.7544320974465445	0.003295895420219564	0.0032958954202195606	-5965.424750888069	0.0	-492.7105831340692
720000	-6413.031187180484	-458.027577329104	-5955.00360985138	3.781350648284173	2019.2130937961558	72.46949259417869	8.30722603602418	12.432327141380965	5.748392177046508	0.3842384266776762	0.17140834510913855	0.20161296801614928	0.24274026019703498	0.43241958286461973	0.2520679790607034	0.776638525972803	0.223361474027194	1.1649577889592044	0.670084422081582	0.003720114056526361	0.003720114056526358	-5955.00360985138	0.0	-454.34366737693597
740000	-6423.5453490731825	-466.0832342201476	-5957.462114853035	3.9877957778130733	2019.006648666627	75.95909470098783	8.401973792895662	9.672643399207807	8.278680070904999	0.3500847850689429	0.1838574168941561	0.20775732311088316	0.2583004749260169	0.6976787974511123	0.2249656404355898	0.7769470192796015	0.22305298072039562	1.1654205289194022	0.6691589421611869	0.0036681678278296455	0.0036681678278296455	-5957.462114853035	0.0	-461.82606283948303
760000	-6411.728237268915	-465.3691047296229	-5946.359132539293	3.8568954790844074	2019.1375489653556	73.85371025552456	9.209921034337645	9.11089655867558	13.071313641311907	0.3780935506516822	0.1645334654278008	0.2043960558233019	0.2529769280972143	0.571190108761639	0.28504517447159566	0.7632272575444767	0.2367727424555203	1.144840886316715	0.7103182273665609	0.003668554458844372	0.0036685544588443766	-5946.359132539293	0.0	-460.4047793777524
780000	-6399.984448233161	-446.08052201883555	-5953.903926214325	3.6806954507651213	2019.3137489936748	69.79592628137799	8.535854011319719	9.767008788553232	6.596017738398395	0.3332488840569662	0.18751672563438815	0.21217802182164644	0.2670563684869984	0.8577092939364274	0.20974983792338459	0.7742682470931387	0.22573175290685843	1.161402370639708	0.6771952587205753	0.003858039973391997	0.003858039973391999	-5953.903926214325	0.0	-441.8147464641258
800000	-6423.265007079586	-465.61982158209827	-5957.645185497488	3.6632751285272125	2019.3311693159128	73.694270961572	8.809349967544701	8.728262955635513	7.747173326852861	0.3681235750160341	0.1792411546499754	0.21167859077088372	0.24095667956310604	0.553606757602445	0.2869365595235599	0.7553257453218893	0.24467425467810772	1.132988617982834	0.7340227640343231	0.003680026199829449	0.0036800261998294567	-5957.645185497488	0.0	-461.7652475726892
820000	-6428.554190925392	-457.68895771741154	-5970.86523320798	4.166393611825379	2018.8280508326145	72.68954801968579	8.14492888881461	11.908804334196292	10.54479446840066	0.3533290742974258	0.1867109636967239	0.20810943897048811	0.2518505230353614	0.6550146744556071	0.03613815188965416	0.8137681706259023	0.18623182937409463	1.2206522559388535	0.5586954881222839	0.0035417827886310266	0.0035417827886310245	-5970.86523320798	0.0	-453.1186531499345
840000	-6384.074920888455	-441.83606715699324	-5942.238853731462	3.568570389373451	2019.4258740550665	65.61879463821161	8.019367455712649	11.549783766587213	8.265621781170722	0.3886490279363176	0.17561092954313198	0.19298776518028993	0.24275227734025975	0.5646388680605476	0.2658658965383896	0.7433998147885944	0.2566001852114028	1.1150997221828916	0.7698005556342085	0.003990339259289895	0.003990339259289895	-5942.238853731462	0.0	-437.3825014149997
860000	-6387.188938345994	-444.956840306481	-5942.2320980395125	3.742124468473135	2019.2523199759669	65.75788789854323	7.992139568508005	14.52883299227423	8.579834310944404	0.3461751954815518	0.18543928293985476	0.2105948816025568	0.2577906399760359	0.529801604859767	0.25724202450139355	0.7653791186090944	0.23462088139090242	1.1480686779136415	0.7038626441727073	0.003765516566951581	0.003765516566951583	-5942.2320980395125	0.0	-440.11479545627196
880000	-6398.168476543444	-450.8155211801556	-5947.352955363288	3.5581297935696363	2019.4363146508704	69.50046401284993	7.508309783742938	9.159751941355161	7.6643897367491425	0.3583851685352089	0.1890894505875737	0.20477782435475633	0.24774755652246033	0.7101421550526325	0.27433298348526597	0.7735259399378493	0.22647406006214757	1.160288909906774	0.6794221801864427	0.0036372109969897183	0.00363721099698972	-5947.352955363288	0.0	-446.7607351887489
900000	-6425.065956596766	-459.2327437391988	-5965.833212857568	3.6656318729933233	2019.3288125714466	70.96443542619105	8.778845270615996	10.777822415111208	9.98694157889618	0.36305698113748497	0.18940058372410143	0.19964693200649067	0.24789550313192232	0.571337857421529	0.059884200152259724	0.7943491548154834	0.2056508451845133	1.191523732223225	0.6169525355535399	0.003808980562612236	0.0038089805626122337	-5965.833212857568	0.0	-454.9376368222441
920000	-6452.276912097085	-490.3609856054532	-5961.915926491632	3.801070839391635	2019.1933736050482	80.4407421148645	10.141644678358158	13.104329769364108	8.00609324944113	0.3575331661551195	0.1720699542762062	0.21537293044565645	0.2550239491230173	0.619863460556214	0.1542401263305708	0.7621797773636669	0.23782022263633024	1.1432696660455004	0.7134606679089908	0.003519337443274704	0.0035193374432746977	-5961.915926491632	0.0	-485.73479506264647
940000	-6420.795507750671	-458.5475803286653	-5962.247927422006	3.8952828874586536	2019.0991615569812	73.87962341968169	7.996006485149128	7.619084972977238	10.106024757439577	0.3581031732094429	0.17823862307690636	0.20381059226122578	0.25984761145242435	0.5438549077569835	0.18312136996962378	0.7520901977978653	0.24790980220213177	1.1281352966967981	0.7437294066063953	0.00342167501753707	0.0034216750175370732	-5962.247927422006	0.0	-454.8379596717277
960000	-6446.025294218353	-463.21060223922024	-5982.814691979133	4.106098239690702	2018.8883462047493	77.32277189356279	8.145477850396084	9.00588581342279	7.279495527984527	0.3452318274579103	0.18211703037066665	0.2140710515342097	0.2585800906372127	0.584839475007171	0.11450175526391887	0.7372452614801616	0.26275473851983555	1.1058678922202423	0.7882642155595067	0.0036971538617835424	0.0036971538617835403	-5982.814691979133	0.0	-459.7715749206649
