strain	compartment	compartment_number	date
A/sw/France/56-200441-3/2020	N	56	2020.55277777778
A/sw/France/56-200050/2020	NE	56	2020.11666666667
A/sw/France/72-200462-2/2020	NE	72	2020.5
A/sw/France/72-200461-1/2020	NE	72	2020.50277777778
A/sw/France/72-220017-3/2022	NE	72	2022.00555555556
A/sw/France/72-210509-4/2021	NE	72	2021.8
A/sw/France/72-200205/2020	NE	72	2020.42777777778
A/sw/France/72-200305/2020	PSE	72	2020.56111111111
A/sw/France/72-200244/2020	NE	72	2020.53888888889
A/sw/France/72-210053-6/2021	NE	72	2021.00833333333
A/sw/France/72-220016-1/2021	PSE	72	2021.98888888889
A/sw/France/72-210508-1/2021	NE	72	2021.78055555556
A/sw/France/72-200318/2020	PSE	72	2020.55277777778
A/sw/France/76-210447-1/2021	PSE	76	2021.40555555556
